Latitude,Longitude
40.852568,-73.887484
40.837267,-73.888016
40.842942,-73.887136
40.842391,-73.881835
40.846173,-73.884871
40.839889,-73.875193
,
40.858274,-73.896071
40.844534,-73.887046
40.831535,-73.892337
40.825924,-73.89193
,
,
,
,
,
40.856385,-73.889152
40.85817,-73.892869
40.834235,-73.894884
40.863691,-73.894244
40.833364,-73.887683
40.864814,-73.892048
40.8457,-73.883911
40.855606,-73.892808
40.866359,-73.891673
40.864421,-73.891799
40.840342,-73.88087
40.853885,-73.883578
40.856754,-73.887821
40.856922,-73.887672
40.855237,-73.887849
40.854025,-73.883997
40.85375,-73.883112
40.854186,-73.891042
40.841486,-73.891125
40.833029,-73.888186
40.84641,-73.882688
40.831953,-73.887823
40.842463,-73.885123
,
,
40.836404,-73.889409
40.854678,-73.891945
40.861705,-73.896135
40.827058,-73.891896
40.812296,-73.90361
40.821006,-73.898026
40.833138,-73.89559
40.822611,-73.900391
40.824114,-73.893017
40.831535,-73.892337
40.817424,-73.898101
40.826005,-73.887826
40.819376,-73.901378
,
40.822388,-73.896326
40.819868,-73.896605
40.828317,-73.89464
40.829569,-73.897522
40.814565,-73.899875
40.812032,-73.909517
40.823362,-73.900079
40.816509,-73.887878
40.819173,-73.902571
40.82643,-73.890307
40.816005,-73.907976
40.813082,-73.908389
,
40.817614,-73.898415
40.815242,-73.904242
,
40.683854,-73.871439
40.672551,-73.873509
40.678988,-73.864858
40.683696,-73.87966
40.684755,-73.869599
40.680961,-73.883826
40.668497,-73.88122
40.678354,-73.869546
40.683548,-73.872518
40.670136,-73.879335
40.665825,-73.877941
40.677497,-73.866563
40.686622,-73.867839
40.667838,-73.873244
40.674146,-73.871458
40.685225,-73.874621
40.672872,-73.871161
40.677517,-73.873983
40.68303,-73.883368
40.687414,-73.871065
40.671237,-73.882578
40.847427,-73.901861
40.849999,-73.902497
40.844842,-73.909679
40.854929,-73.89342
40.854042,-73.902295
40.848997,-73.904772
40.850588,-73.901133
40.856256,-73.90064
40.853232,-73.901971
40.853505,-73.89442
40.837956,-73.90315
40.837875,-73.901412
40.849462,-73.899949
40.842792,-73.893526
40.838762,-73.901563
40.84911,-73.905415
40.850259,-73.88648
40.845028,-73.890002
40.85091,-73.899032
