Latitude,Longitude
40.849394,-73.891375
40.850351,-73.893326
40.837956,-73.90315
40.842792,-73.893526
40.854091,-73.898554
40.845227,-73.890771
40.854929,-73.89342
40.850588,-73.901133
40.849462,-73.899949
40.851333,-73.902133
40.849172,-73.889446
40.853232,-73.901971
40.849999,-73.902497
40.848922,-73.904407
40.837875,-73.901412
40.84472,-73.907427
40.844817,-73.909238
